SYMBOL,NSE symbol,Todays Rate,Low,Open,High,Output,Volume,94642035,15268170215,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),362869,INE415G01027
JPPOWER,NSE:JPPOWER,14.05,13.85,14.6,14.8,Best for Buy,116143338,87741294,2102391565,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),82876,INE040H01021
SUZLON,NSE:SUZLON,41.2,40.2,42.5,43,Avoid,130271353,83706808,40577197.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7638,INE861A01058
YESBANK,NSE:YESBANK,20.1,20,20.9,21.1,Avoid,290789131,71729474,10269334980,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),163642,INE257A01026
IRFC,NSE:IRFC,76.1,75.8,77.4,78.5,Avoid,46928842,66232926,19570651578,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),314067,INE134E01011
NBCC,NSE:NBCC,67.25,67,67.45,68.85,Avoid,9809973,63829997,2156160255,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),70472,INE821I01022
PNB,NSE:PNB,78.45,77.8,78.2,79.5,Avoid,29074574,63796670,16852825006,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),276054,INE020B01018
IDEA,NSE:IDEA,14.2,14,14.65,15.05,Avoid,359762952,63482366,6339953320,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),130168,INE758T01015
RPOWER,NSE:RPOWER,22,21.8,23,23.2,Avoid,130712010,62641188,331834418.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),32273,INE161L01027
NHPC,NSE:NHPC,52.85,52.45,52.95,53.5,Avoid,11552406,56102492,758995141.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),27002,INE425B01027
RTNPOWER,NSE:RTNPOWER,10.15,10.15,10.75,11.1,Avoid,224512705,53019645,14369445403,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),280433,INE245A01021
GTLINFRA,NSE:GTLINFRA,1.1,1.05,1.1,1.15,Best for Sell,35301383,45601577,5932048658,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),136978,INE962Y01021
CENTRALBK,NSE:CENTRALBK,45.5,45.35,45.8,46.5,Avoid,8448670,43850266,1561068886,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),49231,INE691A01018
INFIBEAM,NSE:INFIBEAM,21.85,21.65,22.1,22.2,Avoid,19741978,41855413,11713130962,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),244911,INE522F01014
UNIONBANK,NSE:UNIONBANK,108.55,108,108.65,111.45,Avoid,14988918,38692009,2587109942,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),62227,INE160A01022
SJVN,NSE:SJVN,75.9,75.75,76.5,77.3,Avoid,12962640,37617875,820110151.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),39465,INE270A01029
BHEL,NSE:BHEL,140.6,139.85,142.6,143.15,Avoid,19703693,36090005,9115723140,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),264191,INE758E01017
IOB,NSE:IOB,40.2,39.75,40.3,40.85,Avoid,13782528,34313523,4469052987,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),126365,INE081A01020
RENUKA,NSE:RENUKA,49.85,49.65,49.75,50.9,Avoid,6696688,34312610,826470095,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),31473,INE683A01023
TATASTEEL,NSE:TATASTEEL,124.25,124.05,125.05,125.65,Avoid,18780290,34295404,3275700235,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),102190,INE092T01019
UCOBANK,NSE:UCOBANK,38.7,38.45,38.65,39.15,Avoid,7757409,32912701,4660591667,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),143430,INE022Q01020
RVNL,NSE:RVNL,164.9,164.05,167.65,169.6,Avoid,15508870,32792462,1735069874,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),53361,INE848E01016
VIKASECO,NSE:VIKASECO,3.65,3.6,3.65,3.7,Best for Sell,3760546,32678301,1379770710,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),31261,INE457A01014
VIKASLIFE,NSE:VIKASLIFE,5.55,5.25,5.45,5.55,Avoid,76188276,31494761,4928113517,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),122797,INE109A01011
BANKINDIA,NSE:BANKINDIA,104.5,103.9,104.2,106.1,Avoid,6618098,29688514,632541965,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),20369,INE836F01026
MAHABANK,NSE:MAHABANK,44.8,44.55,44.95,45.35,Avoid,13807503,29593427,2119091463,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),53385,INE008A01015
ZOMATO,NSE:ZOMATO,118.45,117.35,122.85,123.4,Avoid,52784478,29294769,2736864881,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),78091,INE242A01010
VAKRANGEE,NSE:VAKRANGEE,19.15,19,19.5,19.7,Avoid,9705357,28856420,6945957116,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),166377,INE733E01010
ITI,NSE:ITI,279,265.8,266.4,286.35,Avoid,10365807,27391560,65627646.65,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7351,INE878H01024
BOMDYEING,NSE:BOMDYEING,161.9,160.95,165.4,166.5,Avoid,2117541,27168142,896095574.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23906,INE565A01014
SOUTHBANK,NSE:SOUTHBANK,24.9,24.8,24.9,25.1,Best for Sell,14016622,26073229,9587019758,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),155004,INE814H01011
NMDC,NSE:NMDC,170.8,169.1,170.8,173,Best for Sell,13004346,26063305,358514726.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14984,INE455F01025
BAJAJHIND,NSE:BAJAJHIND,32.95,32.6,33.2,34.1,Avoid,18483353,23169208,902514888.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),25792,INE07O001026
BANKBARODA,NSE:BANKBARODA,197.15,196,197.5,198.7,Avoid,10307666,22777604,45976160.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1053,INE098201036
COFFEEDAY,NSE:COFFEEDAY,45.4,45.4,45.7,46.45,Avoid,1567843,22048605,2531072590,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),82937,INE970X01018
DCW,NSE:DCW,52.15,51.65,53.95,54,Avoid,3468341,21669460,884668988.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),56494,INE064C01022
IDFCFIRSTB,NSE:IDFCFIRSTB,84.45,84,85,85.5,Avoid,21054336,21381211,2110500654,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),52097,INE114A01011
SAIL,NSE:SAIL,90.3,89.55,89.7,91.5,Avoid,30213668,20373507,1208259941,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),44222,INE095N01031
IBULHSGFIN,NSE:IBULHSGFIN,189.6,185.6,192.9,193.1,Avoid,10196643,20210938,2580624076,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),94056,INE129A01019
DWARKESH,NSE:DWARKESH,90.6,89.4,89.95,91.1,Avoid,1493113,20142013,794571082.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23125,INE483A01010
JPASSOCIAT,NSE:JPASSOCIAT,18.55,18.05,19.2,19.4,Avoid,28475920,19669280,328250896.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),17804,INE051B01021
RECLTD,NSE:RECLTD,347,339.05,340.45,348,Avoid,10306588,19211255,7669811.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2533,INE688J01023
STEELXIND,NSE:STEELXIND,10,9.7,10.3,10.3,Avoid,9238361,18848099,1930049334,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),70626,INE168A01041
IRCON,NSE:IRCON,165.4,163.3,170,172.5,Avoid,18874242,18493488,1228407492,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),72960,INE123F01029
MMTC,NSE:MMTC,51.55,51.35,52.45,52.5,Avoid,1648516,18349377,22414351946,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),423984,INE704P01017
BALRAMCHIN,NSE:BALRAMCHIN,444.95,435.2,436,446.55,Avoid,2355953,18213728,1763860818,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),47027,INE103A01014
TRIDENT,NSE:TRIDENT,37.1,36.9,37.65,37.75,Avoid,7873910,18010921,2646723819,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),65580,INE171A01029
GMDCLTD,NSE:GMDCLTD,391.45,387,387.25,402.5,Avoid,4843016,17670758,490751943.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14781,INE549A01026
ONGC,NSE:ONGC,197.95,197,198,198.5,Avoid,6423265,17330218,39914313774,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),583102,INE249Z01012
ALOKINDS,NSE:ALOKINDS,21.05,20.9,21.3,22.5,Avoid,63905789,17251105,27941256455,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),263597,INE040A01034
IBREALEST,NSE:IBREALEST,80.7,80.2,83,84.05,Avoid,8783420,16579557,2370536973,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),79123,INE263A01024
IOC,NSE:IOC,102.9,102,103,103.95,Avoid,16980763,16190749,10103472513,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),206605,INE155A01022
PFC,NSE:PFC,324.8,315.45,316.95,325.5,Avoid,19353142,16141896,798270297.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),74522,INE886H01027
